CustomerID,Region,CustomerType,SignupDate
1,North,Retail,2022-05-19
2,East,Retail,2023-04-26
3,East,Corporate,2023-03-25
4,East,Retail,2022-11-29
5,East,Corporate,2024-05-18
6,West,Retail,2022-12-06
7,East,Corporate,2022-02-21
8,West,Corporate,2023-12-08
9,South,Corporate,2023-04-11
10,East,Retail,2023-12-19
11,West,Corporate,2024-03-09
12,East,Retail,2023-04-20
13,East,Corporate,2023-02-05
14,East,Corporate,2023-03-15
15,West,Corporate,2024-05-27
16,North,Corporate,2023-08-28
17,East,Corporate,2024-03-31
18,East,Retail,2023-10-19
19,South,Retail,2023-08-21
20,North,Retail,2023-05-24
21,West,Corporate,2022-06-02
22,South,Corporate,2023-05-29
23,East,Retail,2023-05-18
24,South,Corporate,2024-05-03
25,South,Corporate,2024-06-19
26,East,Corporate,2024-02-11
27,North,Retail,2023-11-07
28,North,Retail,2022-01-06
29,South,Retail,2023-05-15
30,East,Retail,2023-10-23
31,West,Retail,2023-12-18
32,South,Corporate,2022-04-28
33,West,Corporate,2023-04-30
34,South,Corporate,2023-08-24
35,South,Corporate,2023-10-28
36,East,Retail,2023-11-10
37,East,Retail,2023-04-13
38,West,Corporate,2022-06-10
39,West,Retail,2022-09-27
40,North,Corporate,2022-02-25
41,East,Corporate,2022-08-16
42,South,Corporate,2024-04-28
43,South,Corporate,2022-05-29
44,North,Retail,2022-02-15
45,East,Corporate,2022-05-24
46,South,Retail,2024-01-20
47,North,Corporate,2024-02-23
48,North,Corporate,2023-09-24
49,South,Corporate,2022-12-06
50,South,Corporate,2023-02-17
51,West,Retail,2024-01-02
52,East,Corporate,2023-06-04
53,West,Retail,2022-12-10
54,North,Corporate,2023-01-22
55,South,Corporate,2023-04-18
56,West,Corporate,2022-10-02
57,North,Retail,2022-12-19
58,East,Corporate,2022-03-07
59,South,Corporate,2022-03-20
60,West,Corporate,2023-08-21
61,East,Corporate,2023-09-28
62,West,Corporate,2022-07-21
63,North,Retail,2023-10-24
64,East,Retail,2023-07-12
65,West,Corporate,2022-04-23
66,East,Corporate,2022-04-01
67,North,Retail,2022-05-21
68,East,Corporate,2022-10-16
69,West,Retail,2024-06-19
70,North,Corporate,2023-12-31
71,South,Corporate,2023-08-12
72,West,Retail,2023-02-15
73,West,Corporate,2023-01-12
74,North,Retail,2023-01-19
75,North,Retail,2024-04-25
76,South,Retail,2022-06-01
77,West,Corporate,2024-04-14
78,North,Retail,2024-01-21
79,South,Retail,2023-09-19
80,South,Corporate,2022-11-15
81,North,Corporate,2023-01-04
82,West,Corporate,2023-08-29
83,East,Corporate,2023-07-14
84,East,Corporate,2023-12-04
85,South,Corporate,2023-04-07
86,East,Retail,2022-01-12
87,East,Corporate,2022-06-05
88,North,Retail,2023-11-15
89,South,Corporate,2023-04-22
90,West,Retail,2023-02-05
91,South,Retail,2024-03-18
92,North,Corporate,2022-06-26
93,East,Corporate,2022-12-07
94,West,Retail,2022-02-26
95,South,Corporate,2024-05-04
96,East,Corporate,2024-05-01
97,South,Retail,2023-03-24
98,West,Retail,2022-07-22
99,South,Retail,2023-11-28
100,South,Corporate,2023-09-25
101,South,Corporate,2024-01-08
102,East,Corporate,2022-07-21
103,West,Corporate,2022-11-26
104,West,Retail,2022-12-29
105,East,Corporate,2024-06-10
106,East,Retail,2023-03-30
107,East,Corporate,2022-12-22
108,North,Corporate,2022-08-04
109,South,Retail,2023-07-09
110,South,Corporate,2024-06-05
111,West,Corporate,2022-01-23
112,South,Retail,2022-06-04
113,North,Corporate,2022-07-05
114,East,Retail,2022-09-06
115,West,Retail,2024-01-19
116,West,Retail,2024-03-15
117,South,Retail,2022-05-14
118,West,Corporate,2022-11-17
119,East,Corporate,2023-01-25
120,West,Corporate,2023-03-10
121,East,Retail,2022-01-22
122,North,Corporate,2024-05-22
123,North,Corporate,2023-08-23
124,East,Corporate,2023-10-27
125,South,Corporate,2022-05-05
126,West,Retail,2022-03-20
127,South,Retail,2024-05-07
128,West,Corporate,2022-02-20
129,North,Retail,2023-12-29
130,North,Corporate,2022-06-25
131,North,Corporate,2024-05-19
132,West,Corporate,2022-09-10
133,North,Retail,2022-09-03
134,North,Corporate,2024-01-09
135,North,Retail,2022-04-16
136,North,Retail,2022-07-12
137,South,Corporate,2022-11-12
138,North,Retail,2022-10-29
139,North,Retail,2023-07-02
140,South,Corporate,2023-12-17
141,South,Retail,2024-02-18
142,West,Retail,2022-09-25
143,East,Corporate,2022-06-19
144,North,Corporate,2023-07-05
145,North,Retail,2023-03-31
146,North,Corporate,2023-10-13
147,West,Corporate,2022-10-19
148,North,Retail,2023-07-18
149,East,Retail,2024-03-09
150,South,Corporate,2024-03-11
151,West,Retail,2022-05-21
152,South,Corporate,2022-05-26
153,North,Corporate,2023-03-01
154,North,Retail,2022-11-10
155,North,Retail,2022-07-03
156,East,Corporate,2023-10-26
157,East,Corporate,2023-12-14
158,West,Corporate,2022-05-08
159,South,Corporate,2022-10-14
160,North,Retail,2024-04-02
161,North,Corporate,2022-09-10
162,North,Retail,2024-02-17
163,North,Retail,2023-12-01
164,East,Corporate,2023-01-21
165,South,Retail,2022-08-18
166,South,Retail,2022-09-28
167,West,Corporate,2024-02-10
168,East,Retail,2024-03-21
169,North,Retail,2023-02-19
170,South,Corporate,2022-07-17
171,South,Corporate,2022-11-19
172,East,Corporate,2022-02-25
173,West,Corporate,2024-04-10
174,West,Corporate,2022-07-22
175,North,Corporate,2024-02-22
176,West,Corporate,2023-09-13
177,South,Retail,2023-09-20
178,West,Retail,2023-08-27
179,North,Corporate,2022-05-18
180,South,Retail,2023-02-26
181,West,Retail,2024-03-25
182,West,Corporate,2022-02-26
183,East,Retail,2023-07-16
184,North,Corporate,2022-03-12
185,West,Retail,2024-06-29
186,East,Corporate,2023-08-17
187,South,Retail,2023-01-07
188,East,Retail,2023-09-09
189,East,Retail,2023-08-23
190,West,Corporate,2023-05-29
191,West,Retail,2024-05-21
192,West,Retail,2022-03-25
