SaleID,Date,ProductID,CustomerID,EmployeeID,Quantity,UnitPrice,Discount
1,2023-04-13,16,211,25,2,50,0.15
2,2024-03-11,8,28,7,1,75,0.1
3,2023-09-28,19,51,17,4,50,0.25
4,2023-04-17,18,261,3,4,75,0.0
5,2023-03-13,1,261,20,13,200,0.15
6,2024-12-01,14,8,20,1,150,0.0
7,2023-01-21,19,138,21,6,100,0.25
8,2024-09-06,15,38,3,4,50,0.25
9,2023-05-02,18,111,3,1,200,0.0
10,2024-04-11,2,220,17,1,150,0.0
11,2023-08-03,17,223,7,13,200,0.0
12,2023-11-27,18,136,14,1,50,0.25
13,2024-04-03,6,256,17,8,100,0.05
14,2023-03-29,19,49,18,10,200,0.0
15,2024-01-08,4,292,13,8,75,0.15
16,2023-04-10,1,78,20,2,150,0.25
17,2024-10-25,8,105,20,11,200,0.1
18,2023-05-11,7,169,21,13,150,0.1
19,2024-10-23,3,217,18,7,75,0.15
20,2023-11-05,10,119,4,14,100,0.05
21,2023-12-10,10,190,1,8,100,0.0
22,2024-05-06,19,255,18,8,75,0.25
23,2024-02-18,14,266,1,11,150,0.0
24,2024-01-21,2,149,13,10,200,0.25
25,2023-07-11,1,164,20,11,75,0.1
26,2023-10-04,18,140,20,13,50,0.0
27,2023-06-10,7,258,23,7,150,0.15
28,2024-04-04,8,269,10,5,100,0.05
29,2023-11-10,1,181,11,1,75,0.15
30,2023-01-22,3,160,9,12,100,0.05
31,2023-09-10,8,288,9,9,150,0.0
32,2024-07-14,15,288,5,13,100,0.0
33,2024-04-19,5,226,1,7,75,0.05
34,2023-02-28,3,11,17,2,150,0.1
35,2024-05-25,19,10,22,6,50,0.25
36,2024-11-12,1,271,2,2,75,0.15
37,2024-04-20,15,273,24,1,200,0.15
38,2024-11-30,8,183,13,14,75,0.15
39,2023-07-09,2,153,9,7,150,0.0
40,2024-11-17,3,124,4,13,75,0.15
41,2024-07-16,14,114,5,2,50,0.25
42,2024-07-20,14,278,11,13,50,0.25
43,2023-09-01,11,213,24,14,200,0.05
44,2024-05-19,16,172,19,14,100,0.0
45,2023-05-11,4,288,21,2,150,0.25
46,2024-04-29,20,174,3,13,150,0.1
47,2024-10-08,5,113,12,11,100,0.0
48,2023-01-21,14,122,19,5,50,0.0
49,2023-06-16,16,32,19,14,50,0.25
50,2023-10-01,18,222,13,5,75,0.1
51,2024-01-23,7,119,7,7,200,0.05
52,2024-08-23,10,39,15,1,200,0.25
53,2023-11-12,7,268,23,8,200,0.1
54,2023-01-14,1,233,7,3,75,0.0
55,2023-08-30,19,18,8,4,200,0.1
56,2023-12-12,16,149,5,9,100,0.0
57,2024-07-18,19,149,21,4,75,0.25
58,2023-12-06,4,126,14,10,100,0.25
59,2023-04-02,18,238,4,12,75,0.15
60,2024-01-02,2,135,23,5,200,0.15
61,2024-03-30,1,151,10,7,100,0.15
62,2024-03-03,15,236,20,4,100,0.25
63,2024-05-23,5,224,15,14,100,0.05
64,2023-02-04,20,203,18,1,75,0.25
65,2023-07-25,11,256,20,9,150,0.1
66,2023-03-22,10,86,13,4,200,0.25
67,2024-07-15,2,150,8,9,100,0.25
68,2024-01-23,3,235,9,6,150,0.0
